"","budget","revenue","title","overview","popularity","vote_count","release_date","status"
"47",0,0,"The Infinite Garden","Philip looks like a man, who has it all: successful career and a beautiful girlfriend. However, he is still taking care of Victor, his sensitive brother, years after the death of their parents. Emma is slightly autistic, fallen out of time. At the night, she creates the model of a mystical garden in the back of her flower shop, where Victor works. Emma lives in spheres completely beyond Philip's reach. Through her garden, Philip realizes that he never felt so real until he met this otherworldly girl, he's falling in love with. His life is transforming - until Victor confesses that he, too, is in love with Emma. Torn between the love for his brother and for Emma, Philip feels the pain of loss for the first time.  Under the surface of this contemporary urban drama, there are hidden invisible worlds, where unexpected miracles happen.  ""Perhaps the most tender Bulgarian film.""",2.948051,0,"2017-11-16","Released"
"48",0,0,"The Skin of the Wolf","Martinón is the last inhabitant of Auzal, a village in the mountains where he lives in communion with nature. He only goes down to the valleys twice a year to trade and to buy provisions. But one day he’s convinced to take a wife, a decision intended to soften his calloused soul—but in some ways his real struggle is only just beginning.",1e-06,0,"2018-03-09","Released"
"49",0,0,"Here We Are","A young writer attempts to escape his slacker surroundings for the great American unknown by checking himself into a medical research facility to pay off his debt, fix up his RV, and finally hit the road. When he meets a mysterious young woman with whom he shares a true connection, he thinks he may have just found the co-pilot on the road of life he's been looking for all along. However their pasts and personal fears threaten to ruin a good thing before it even begins.",2.445879,0,"2017-10-28","Released"
"50",0,0,"Listen to Light","Shiori, Yukiko, Kyoko and Sachiko continue to live each day with untold feelings inside. Unable to forget a colleague on a trip, a father who is ill, a friend who works at a store that is about to close, and a long-lost husband, each woman takes a step forward. There is a light that sometimes embraces them, calmly and gently.",0.1128,0,"2017-10-26","Released"
"51",0,0,"The Man with the Magic Box","Retro-futuristic timetravel-mystery.",0.770918,3,"2017-10-20","Released"
"52",0,0,"Hit the Night","Under the pretense of research for her scenario, Ga-yeong interviews a man she’s been wanting to get to know. She probes him for intimate details including his sexual fantasies. He answers in all sincerity and she slowly reveals her desire for him.",0.144855,1,"2017-10-15","Released"
"53",0,0,"Tremble All You Want","A romantic-comedy based on a novel by Risa Wataya.",2.445149,0,"2017-12-23","Released"
"54",0,0,"Method","Seasoned actor Jaeha and former idol star Youngwoo are cast in the drama Unchain. Absorbed in their roles, they get drawn to each other. Jaeha’s girlfriend Heewon becomes worried about them. Between drama and reality, desires begin a dangerous tug of war.",0.728178,10,"2017-11-02","Post Production"
"55",0,0,"Black Summer","Jihyeon works as a temp at a university, writing and making films. One day he finds he has confusing feelings towards Geon-u, a younger schoolmate. The two men fall in love with each other, bringing controversy among colleagues.",0.107004,0,"2017-10-13","Released"
"56",0,0,"Old Love","On a winter day, a man and a woman, once college sweethearts, chance to meet at Incheon Airport after 25 years. When they meet again a week later, they realize their old flame still burns, feeling a romantic thrill and confusion at the same time.",0.13056,0,"2017-10-13","Released"
