"","budget","revenue","title","overview","popularity","vote_count","release_date","status","runtime","production_companies","production_countries"
"53",1500,0,"Forest Movie","A woman gets lost in the woods.",0.092574,0,"2017-09-30","Released",65,"Sital Cinema, Quantity Cinema, ","Canada, "
"54",147983,0,"Satan's Slaves","After Rini's mother died, something is disturbing her family.",4.514362,15,"2017-09-28","Released",107,"CJ Entertainment, Rapi Films, ","Indonesia, "
"55",0,0,"Ten: Murder Island","A group of kids travel to an abandoned island for a party only to discover that they are being stalked and hunted down by a dangerous predator.",0.205123,2,"2017-09-16","Released",82,", , ",", , "
"56",0,0,"The Child Remains","An expectant couple's intimate weekend turns to terror as they discover their secluded country inn is a haunted maternity home where infants and mothers were murdered.",0.115357,0,"2017-09-15","Released",112,", , ","Canada, "
"57",0,0,"Touched","A ghostly, psychological drama about a young woman who disappears from her building and her solitary landlord who tries to track her down.",0.104255,0,"2017-09-15","Released",78,", , ","Canada, "
"58",0,2049844,"Crooked House","A private investigator helps a former flame solve the murder of her wealthy grandfather, who lived in a sprawling estate surrounded by his idiosyncratic family.",6.764832,177,"2017-09-14","Released",115,"Fred Films, Brilliant Films, ","United Kingdom, "
"59",0,0,"Dark River","After her father dies, a young woman returns to her Yorkshire village for the first time in 15 years to claim the family farm she believes is hers.",2.017813,2,"2018-02-23","Released",89,", , ","United Kingdom, "
"60",0,0,"The Crescent","After an unexpected death in the family, a mother and son struggle to find spiritual healing at a beachfront summer home.",2.566549,4,"2017-09-09","Post Production",99,", , ","Canada, "
"61",0,0,"Gutland","Early one summer morning a young man, with a secret stashed away in a duffel bag, emerges from the forest. In a nearby village he asks around for work, but the farmers, suspicious to the point of hostility, are not very forthcoming. Only when Lucy, the mayor’s unruly daughter, takes a liking to him, does the village change its attitude: he is promptly offered a job as a farmhand and a caravan to live in. As time passes and he is gradually integrated into the community, it emerges that he’s not the only one with a past to hide. Something sinister is lurking under the immaculate surface of this picturesque little world - and it is slowly drawing him in.",2.971385,2,"2017-09-08","Released",107,", , ","Belgium, France, Germany, Luxembourg, "
"62",0,0,"Good Favour","A teenage stranger is welcomed into a household in a devout Catholic village and gradually reveals his motives and what seem to be magical powers.",2.457478,0,"2017-09-08","Released",101,"Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles, Savage Productions, ","Belgium, Denmark, Ireland, Netherlands, "
"63",30000000,44516999,"mother!","A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence.",25.265569,1982,"2017-09-13","Released",121,"Protozoa Pictures, ","United States of America, "
"64",25000000,5775178,"Suburbicon","In the quiet family town of Suburbicon during the 1950s, the best and worst of humanity is hilariously reflected through the deeds of seemingly ordinary people. When a home invasion turns deadly, a picture-perfect family turns to blackmail, revenge and murder.",11.95972,481,"2017-10-26","Released",104,"Huahua Media, Dark Castle Entertainment, Silver Pictures, Black Bear Pictures, Smokehouse Pictures, ","United Kingdom, United States of America, "
"65",0,0,"Leatherface","A young nurse is kidnapped by a group of violent teens who escape from a mental hospital and take her on the road trip from hell. Pursued by an equally deranged lawman out for revenge, one of the teens is destined for tragedy and horrors that will destroy his mind, moulding him into a monster named Leatherface.",10.41441,337,"2017-09-14","Released",88,"Lionsgate, Campbell Grobman Films, LF2 Productions, Mainline Pictures, Millennium Films, ","United States of America, "
"66",40000000,0,"Death Note","A young man comes to possess a supernatural notebook, the Death Note, that grants him the power to kill any person simply by writing down their name on the pages. He then decides to use the notebook to kill criminals and change the world, but an enigmatic detective attempts to track him down and end his reign of terror.",12.366625,1657,"2017-08-25","Released",101,"Vertigo Entertainment, Lin Pictures, Netflix, ","United States of America, "
"67",0,0,"Diane","When a disabled war veteran discovers the dead body of a beautiful singer in his back yard, his fascination with her photographic image soon turns to obsession",0.081416,0,"2017-08-24","Released",82,", , ","United States of America, "
"68",5741614,81182,"Thelma","A college student starts to experience extreme seizures while studying at a university in Oslo, Norway. She soon learns that the violent episodes are a symptom of inexplicable, and often dangerous, supernatural abilities.",8.076968,176,"2017-09-15","Released",116,"The Orchard, Eurimages, Motlys, Le Pacte, Film i Väst, Nordic Film och TV Fund, Norwegian Film Institute, Snowglobe Films, ","Denmark, France, Norway, Sweden, "
"69",10,0,"The Invasion of Kelly","August 21st, 1955 was a night that they would not forget...",1.120126,0,"2017-08-18","Released",70,"White Door Productions, ",", , "
"70",0,0,"Sightings","A dysfunctional family under suspicion of murder after three bodies mysteriously appear on their ranch are terrorised by what they can only describe as Bigfoot.",2.844795,3,"2017-10-21","Released",88,"High Octane Pictures, BrighterMoon Productions, ","United States of America, "
"71",0,0,"9 Fingers","In the middle of the night, Magloire is smoking a cigarette in an abandoned train station when the police shows up for an ID check. He starts running with no luggage, no future until he meets a dying man from whom he inherits a fortune. Magloire is now pursued by a gang. He becomes their hostage, but accomplice too. As he doesn’t anything to lose. Like someone who gets away with everything, someone with no expectations…",0.4285,1,"2018-03-21","Released",99,", , ","Portugal, France, "
"72",0,0,"Braxton","Every town has a devil. For the small community of Braxton, that devil is Tommy Miller. A bullied and tormented teen who finally snapped, killing his friends and family at the annual Braxton town hall party, Miller escaped into the woods, never to be seen or heard from again. Until now. Ten years later, a group of fresh-faced teens find themselves targeted by a masked man in a hooded cloak. It's up to Detective Ryan Fenton and his fish-out-of-water partner to protect the town from Miller's clutches; there's just one issue - Ryan himself is a survivor of the original massacre. Is Miller opening up a new chapter, or has he returned to attend to some unfinished business?",0.161848,1,"2017-08-03","Released",111,"What's Next Films, ","Ireland, United Kingdom, "
"73",0,0,"Indiana","A disillusioned demon hunter considers leaving the field, but on the insistence of his more eager partner, agrees to take on one more case that could change his life forever.",0.103556,1,"2017-07-30","Released",NA,", , ",", , "
"74",0,0,"Maze","Inspired by the true events of the infamous 1983 prison breakout of 38 IRA prisoners from HMP Maze, which was to become the biggest prison escape in Europe since World War II.",3.657805,15,"2017-09-22","Released",93,"Filmgate Films, Mammoth Films, Cyprus Avenue Films, ","Germany, Ireland, United Kingdom, Sweden, "
"75",0,0,"Ralang Road","An ordinary day in Sikkim mountains. A chain of incidents. Four people. A cold town.",2.411024,2,"2017-07-06","Released",103,", , ",", , "
"76",0,7793,"Overdrive","Master car thieves square off against French gangsters in the South of France with money, women and lives all on the line.",7.785577,298,"2017-06-29","Released",93,"Umedia, Kinology, Setient Pictures, ","France, "
"77",0,0,"The Bottomless Bag","Based on Ryunosuke Akutagawa's In a Grove, story takes place during the times of Tsar Alexander II. A lady-in-waiting tells the Emperor in his bedroom a metaphysical story about a 13th century prince who is killed in the woods under mysterious circumstances. Fairy tale characters who have witnessed the terrible death, all share their version of the events, gradually shedding light on what really happened.",0.172395,1,"2017-06-27","Released",107,", , ","Russia, "
"78",0,0,"A Thought of Ecstasy","August 2019. Frank recognizes his own story of twenty years ago in a recently published book. He remembers Marie, with whom he had a relationship before she moved to the United States and disappeared from his life. Frank sets out in search of her and finds himself in a USA petrified by a heat wave and lost in suspicion and political paranoia. He heads into the desert in pursuit of Marie.",0.545475,1,"2018-01-25","Released",90,", , ",", , "
"79",15000000,305092201,"Annabelle: Creation","Several years after the tragic death of their little girl, a dollmaker and his wife welcome a nun and several girls from a shuttered orphanage into their home, soon becoming the target of the dollmaker's possessed creation, Annabelle.",19.011824,2164,"2017-08-03","Released",109,"Atomic Monster, New Line Cinema, The Safran Company, Warner Bros., ","United States of America, "
"80",0,0,"8:30","8:30 follows an unsuspecting door-to-door salesman, who finds himself stranded in a desert-like suburb as his train returns to the same train station over and over again in what seems to be an infinite loop.",0.06039,0,"2017-06-18","Released",70,", , ","Austria, "
"81",0,0,"A Day","A desperate father who tries to save his daughter and a man who tries to save his wife. In their desperate efforts to save their beloved, the day repeats in endless loop, and two men realizes that there's third man who keeps murdering their beloved out of vengeance.",0.886714,8,"2017-06-15","Released",90,"(<U+C8FC>)<U+B77C><U+C778><U+D544><U+B984>, ","South Korea, "
"82",5500000,6735118,"Loving Vincent","The film brings the paintings of Vincent van Gogh to life to tell his remarkable story. Every one of the 65,000 frames of the film is an oil-painting hand-painted by 125 professional oil-painters who travelled from all across the world to the Loving Vincent studios in Poland and Greece to be a part of the production. As remarkable as Vincent’s brilliant paintings are his passionate and ill-fated life and mysterious death.",9.546088,588,"2017-08-02","Released",95,"Breakthru Films, Trademark Films, Centrum Technologii Audiowizualnych, Odra-Film (Koprodukcja), Polski Instytut Sztuki Filmowej, ","Poland, United Kingdom, "
"83",0,0,"Spiegel beeld","",0.057674,0,"2017-06-08","Post Production",NA,", , ","Netherlands, "
"84",83,0,"Pipe Man","An experimental short film that serves as a tribute to our ancestors who worked in the mines. Its esoteric cinematography makes the public enter a parallel universe to reality with amazing monochrome pictures.",0.095041,1,"2017-06-06","Released",13,"Popsec Studio, ","Portugal, "
"85",0,0,"Frederick","How far would you go for your art?",0.057651,0,"2017-06-06","Released",16,", , ",", , "
"86",0,0,"Cade & Eugene's Platonic Love Story","Hungover and struggling to recall the events of the Christmas party they attended, two best friends are called into the police station for questioning. One worries of what could happen to them whilst the other ignores his friend's anxieties in pursuit of love.",0.055322,0,"2017-05-26","Released",14,"MMBF, ","Ireland, "
"87",6000000,0,"The Summit","At a Latin American Presidents’ Summit in Chile where the region’s alliances and geopolitical strategies are shaped, Hernán Blanco, the president of Argentina, lives a political and family drama. Through his son in law, he’s implicated in a corruption case. On her father’s call, Marina Blanco, attends the Summit to find protection, to earn time and to negotiate a way out. That past once calm and domestic, becomes a menacing element, almost fantastic, seen from the top of public life, seen from the Summit.",3.495417,25,"2017-08-17","Released",114,"Kramer & Sigman Films, La Unión de los Ríos, Mod Producciones, Maneki Films, ARTE France Cinéma, Movistar+, Televisión Federal (Telefe), ","Argentina, France, Spain, "
"88",0,0,"Exposure","Camille, an assistant at an art gallery, hosts Masato Kimura, a Japanese video game designer who has come to France to promote his latest creation. Indifferent to his world, Camille finds the man inscrutable until Masato asks to use her face in his next game.",0.149143,2,"2017-05-23","Released",30,", , ","France, "
"89",0,2205074,"The Killing of a Sacred Deer","A teenager's attempts to bring a brilliant surgeon into his dysfunctional family take an unexpected turn.",14.656445,596,"2017-10-20","Released",121,"Element Pictures, Three Point Capital, A24, Film4 Productions, ","United Kingdom, United States of America, Ireland, "
"90",0,0,"Sicilian Ghost Story","In a little Sicilian village at the edge of a forest, Giuseppe, a boy of 13, vanishes. Luna, his classmate who loves him, refuses to accept his mysterious disappearance. She rebels against the silence and complicity that surround her, and to find him she descends into the dark world which has swallowed him up and which has a lake as its mysterious entrance.",4.941577,27,"2018-06-13","Post Production",122,"Rai Cinema, MACT Productions, Indigo Film, Ventura Film, SSR SRG Idée Suisse, RSI Radiotelevisione Svizzera, JPG Films, Cristaldi Pictures, ","France, Italy, Switzerland, "
"91",0,0,"The Dark of Night","The night turns dangerous when a woman seeks refuge from a storm in an isolated diner. Everyone has a secret and nothing is what it seems.",1.785999,0,"2017-05-18","Released",10,", , ",", , "
"92",0,0,"Ismael's Ghosts","The film tells the tale of a widowed film director who is in the middle of making a film about an atypical diplomat inspired by his brother. While he has started a new life with Sylvia, he still mourns the death of a former lover, Carlotta, who passed away 20 years earlier; then Carlotta returns from the dead, causing Sylvia to run away.",6.219843,49,"2017-05-17","Released",110,"Magnolia Pictures, ","France, "
"93",0,0,"The Photographer","A reclusive photographer finds himself confronted with a disturbing reality, after he becomes obsessed with following a young woman. Should he act and risk being discovered?",0.112921,0,"2017-05-13","Released",10,", , ",", , "
"94",0,0,"Kuleana","A Vietnam vet suspected of murder in '71 Maui must rediscover the Hawaiian warrior within to protect his family, defend their land, and clear his father's name.",0.292134,0,"2017-04-30","Released",95,", , ","United States of America, "
"95",5000000,0,"It Comes at Night","Secure within a desolate home as an unnatural threat terrorizes the world, a man has established a tenuous domestic order with his wife and son, but this will soon be put to test when a desperate young family arrives seeking refuge.",16.678875,781,"2017-06-09","Released",91,"A24, Animal Kingdom, ","United States of America, "
"96",0,0,"Stephanie","An orphaned young girl with girl with unworldly powers is taken in by a man and woman who claim to be her parents.",6.442832,22,"2017-04-27","Released",86,"Gotham Group, Blumhouse Productions, ","United States of America, "
"97",0,0,"Boatboy","A man wants to buy a boat and meets with a mysterious boat seller.",0.071764,0,"2017-04-24","Released",17,"Gloomy Elk, ","Norway, "
